param_1,param_2,threshold,accuracy,profit_score,total_predictions,buy_predictions,sell_predictions,hold_predictions
0.5,1.0,0.3,0.2857142857142857,-294,686,135,101,450
0.5,1.0,0.35,0.23177842565597667,-368,686,58,47,581
0.5,1.0,0.39999999999999997,0.19825072886297376,-414,686,15,14,657
0.5,1.0,0.44999999999999996,0.1880466472303207,-428,686,2,1,683
0.5,1.0,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.0,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.1,0.3,0.2886297376093295,-290,686,149,103,434
0.5,1.1,0.35,0.2434402332361516,-352,686,77,59,550
0.5,1.1,0.39999999999999997,0.20116618075801748,-410,686,17,21,648
0.5,1.1,0.44999999999999996,0.1880466472303207,-428,686,3,2,681
0.5,1.1,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.1,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.2000000000000002,0.3,0.28717201166180756,-292,686,154,106,426
0.5,1.2000000000000002,0.35,0.24927113702623907,-344,686,86,67,533
0.5,1.2000000000000002,0.39999999999999997,0.21137026239067055,-396,686,21,27,638
0.5,1.2000000000000002,0.44999999999999996,0.1880466472303207,-428,686,7,4,675
0.5,1.2000000000000002,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.2000000000000002,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.3000000000000003,0.3,0.29008746355685133,-288,686,165,109,412
0.5,1.3000000000000003,0.35,0.25801749271137026,-332,686,91,74,521
0.5,1.3000000000000003,0.39999999999999997,0.21720116618075802,-388,686,29,31,626
0.5,1.3000000000000003,0.44999999999999996,0.1880466472303207,-428,686,8,7,671
0.5,1.3000000000000003,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.3000000000000003,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.4000000000000004,0.3,0.2988338192419825,-276,686,172,112,402
0.5,1.4000000000000004,0.35,0.26239067055393583,-326,686,102,83,501
0.5,1.4000000000000004,0.39999999999999997,0.22011661807580174,-384,686,36,35,615
0.5,1.4000000000000004,0.44999999999999996,0.1880466472303207,-428,686,8,9,669
0.5,1.4000000000000004,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.4000000000000004,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.5000000000000004,0.3,0.30612244897959184,-266,686,182,115,389
0.5,1.5000000000000004,0.35,0.2725947521865889,-312,686,116,89,481
0.5,1.5000000000000004,0.39999999999999997,0.2230320699708455,-380,686,46,43,597
0.5,1.5000000000000004,0.44999999999999996,0.1967930029154519,-416,686,11,12,663
0.5,1.5000000000000004,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.5000000000000004,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.6000000000000005,0.3,0.3119533527696793,-258,686,190,121,375
0.5,1.6000000000000005,0.35,0.27405247813411077,-310,686,124,93,469
0.5,1.6000000000000005,0.39999999999999997,0.23177842565597667,-368,686,56,46,584
