param_1,param_2,threshold,accuracy,profit_score,total_predictions,buy_predictions,sell_predictions,hold_predictions
1.2,1.7000000000000008,0.19999999999999998,0.36588921282798836,-120,686,344,240,102
1.2,1.7000000000000008,0.21,0.36443148688046645,-117,686,341,236,109
1.2,1.7000000000000008,0.22,0.36443148688046645,-113,686,333,234,119
1.2,1.7000000000000008,0.23,0.36005830903790087,-115,686,331,232,123
1.2,1.7000000000000008,0.24000000000000002,0.3556851311953353,-115,686,327,230,129
1.2,1.7000000000000008,0.25,0.35422740524781343,-115,686,325,226,135
1.2,1.7000000000000008,0.26,0.358600583090379,-108,686,320,220,146
1.2,1.7000000000000008,0.27,0.35714285714285715,-107,686,318,217,151
1.2,1.7000000000000008,0.28,0.3469387755102041,-112,686,312,212,162
1.2,1.7000000000000008,0.29000000000000004,0.34402332361516036,-109,686,308,207,171
1.2,1.7000000000000008,0.30000000000000004,0.3469387755102041,-105,686,301,206,179
1.2,1.7000000000000008,0.31000000000000005,0.34402332361516036,-104,686,293,203,190
1.2,1.7000000000000008,0.32000000000000006,0.34839650145772594,-98,686,289,199,198
1.2,1.7000000000000008,0.33000000000000007,0.3454810495626822,-93,686,281,194,211
1.2,1.7000000000000008,0.3400000000000001,0.3454810495626822,-85,686,270,187,229
1.2,1.7000000000000008,0.3500000000000001,0.34402332361516036,-79,686,263,180,243
1.2,1.7000000000000008,0.3600000000000001,0.33527696793002915,-76,686,250,174,262
1.2,1.7000000000000008,0.3700000000000001,0.32798833819241985,-74,686,235,167,284
1.2,1.7000000000000008,0.3800000000000001,0.31924198250728864,-69,686,218,155,313
1.2,1.7000000000000008,0.3900000000000001,0.3104956268221574,-60,686,186,144,356
1.2,1.7000000000000008,0.40000000000000013,0.29737609329446063,-39,686,150,129,407
1.2,1.7200000000000009,0.19999999999999998,0.36588921282798836,-120,686,344,240,102
1.2,1.7200000000000009,0.21,0.36443148688046645,-118,686,341,237,108
1.2,1.7200000000000009,0.22,0.36443148688046645,-114,686,334,234,118
1.2,1.7200000000000009,0.23,0.36005830903790087,-115,686,331,232,123
1.2,1.7200000000000009,0.24000000000000002,0.3556851311953353,-115,686,327,230,129
1.2,1.7200000000000009,0.25,0.35422740524781343,-115,686,325,226,135
1.2,1.7200000000000009,0.26,0.358600583090379,-108,686,320,220,146
1.2,1.7200000000000009,0.27,0.358600583090379,-106,686,318,218,150
1.2,1.7200000000000009,0.28,0.3469387755102041,-113,686,312,213,161
1.2,1.7200000000000009,0.29000000000000004,0.34402332361516036,-110,686,309,207,170
1.2,1.7200000000000009,0.30000000000000004,0.3454810495626822,-106,686,302,206,178
1.2,1.7200000000000009,0.31000000000000005,0.3425655976676385,-105,686,293,204,189
1.2,1.7200000000000009,0.32000000000000006,0.34839650145772594,-99,686,289,200,197
1.2,1.7200000000000009,0.33000000000000007,0.3454810495626822,-94,686,282,194,210
1.2,1.7200000000000009,0.3400000000000001,0.34402332361516036,-86,686,271,187,228
1.2,1.7200000000000009,0.3500000000000001,0.3425655976676385,-80,686,263,181,242
1.2,1.7200000000000009,0.3600000000000001,0.33527696793002915,-76,686,250,174,262
1.2,1.7200000000000009,0.3700000000000001,0.32798833819241985,-75,686,239,168,279
1.2,1.7200000000000009,0.3800000000000001,0.31924198250728864,-70,686,219,157,310
1.2,1.7200000000000009,0.3900000000000001,0.31486880466472306,-58,686,189,147,350
1.2,1.7200000000000009,0.40000000000000013,0.2988338192419825,-44,686,156,130,400
1.2,1.7400000000000009,0.19999999999999998,0.36588921282798836,-120,686,344,240,102
1.2,1.7400000000000009,0.21,0.36443148688046645,-118,686,341,237,108
1.2,1.7400000000000009,0.22,0.36443148688046645,-114,686,334,234,118
1.2,1.7400000000000009,0.23,0.36151603498542273,-114,686,332,232,122
1.2,1.7400000000000009,0.24000000000000002,0.3556851311953353,-116,686,328,230,128
1.2,1.7400000000000009,0.25,0.35422740524781343,-115,686,325,226,135
1.2,1.7400000000000009,0.26,0.36005830903790087,-107,686,321,220,145
1.2,1.7400000000000009,0.27,0.36005830903790087,-105,686,318,219,149
1.2,1.7400000000000009,0.28,0.3469387755102041,-113,686,312,213,161
1.2,1.7400000000000009,0.29000000000000004,0.34402332361516036,-111,686,309,208,169
1.2,1.7400000000000009,0.30000000000000004,0.3454810495626822,-106,686,302,206,178
1.2,1.7400000000000009,0.31000000000000005,0.3425655976676385,-105,686,295,204,187
1.2,1.7400000000000009,0.32000000000000006,0.34839650145772594,-99,686,289,200,197
1.2,1.7400000000000009,0.33000000000000007,0.3454810495626822,-95,686,283,194,209
1.2,1.7400000000000009,0.3400000000000001,0.34402332361516036,-87,686,274,187,225
1.2,1.7400000000000009,0.3500000000000001,0.3425655976676385,-80,686,263,181,242
1.2,1.7400000000000009,0.3600000000000001,0.336734693877551,-78,686,252,176,258
1.2,1.7400000000000009,0.3700000000000001,0.32798833819241985,-76,686,241,169,276
1.2,1.7400000000000009,0.3800000000000001,0.3177842565597668,-72,686,221,159,306
1.2,1.7400000000000009,0.3900000000000001,0.3163265306122449,-60,686,195,147,344
1.2,1.7400000000000009,0.40000000000000013,0.2988338192419825,-46,686,160,132,394
1.2,1.760000000000001,0.19999999999999998,0.36588921282798836,-120,686,344,240,102
1.2,1.760000000000001,0.21,0.36443148688046645,-119,686,341,238,107
1.2,1.760000000000001,0.22,0.36443148688046645,-114,686,334,234,118
1.2,1.760000000000001,0.23,0.3629737609329446,-113,686,332,233,121
1.2,1.760000000000001,0.24000000000000002,0.3556851311953353,-116,686,328,230,128
