Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker
2021-02-26 00:00:00-05:00,21.2013956606674,21.23585461139471,21.1023239179655,21.115245819091797,82900,0.0,0.0,0.0,REIT
2021-03-01 00:00:00-05:00,21.322007304316767,21.322007304316767,20.997222900390625,20.997222900390625,95300,0.0,0.0,0.0,REIT
2021-03-02 00:00:00-05:00,20.906762155123687,20.917100989897765,20.675881777617178,20.862825393676758,45300,0.0,0.0,0.0,REIT
2021-03-03 00:00:00-05:00,20.75342127965606,20.822340835841025,20.731884226442975,20.758590698242188,45900,0.0,0.0,0.0,REIT
2021-03-04 00:00:00-05:00,20.796492349422365,20.796492349422365,20.39589697410015,20.499277114868164,44300,0.0,0.0,0.0,REIT
2021-03-05 00:00:00-05:00,20.641423651025736,20.675884246826172,20.27098210520095,20.675884246826172,43000,0.0,0.0,0.0,REIT
2021-03-08 00:00:00-05:00,20.848185352059883,21.20139826708814,20.848185352059883,21.132478713989258,48200,0.0,0.0,0.0,REIT
2021-03-09 00:00:00-05:00,21.20570593903373,21.244473292029735,21.11094093322754,21.11094093322754,43000,0.0,0.0,0.0,REIT
2021-03-10 00:00:00-05:00,21.606301294131534,21.606301294131534,21.113525566161965,21.328899383544922,9100,0.0,0.0,0.0,REIT
2021-03-11 00:00:00-05:00,21.416771334147533,21.606299687812204,21.416771334147533,21.46329116821289,2900,0.0,0.0,0.0,REIT
2021-03-12 00:00:00-05:00,21.563224182993327,21.842348098754883,21.541685489719082,21.842348098754883,2000,0.0,0.0,0.0,REIT
2021-03-15 00:00:00-04:00,22.390259073818058,22.390259073818058,21.761367999620994,22.136117935180664,10400,0.0,0.0,0.0,REIT
2021-03-16 00:00:00-04:00,22.31272417274432,22.31272417274432,21.95951129085576,22.080120086669922,4200,0.0,0.0,0.0,REIT
2021-03-17 00:00:00-04:00,22.062893683358617,22.08012233939582,21.804444124739305,21.992250442504883,3200,0.0,0.0,0.0,REIT
2021-03-18 00:00:00-04:00,21.91438736239306,22.052812101622187,21.8451749927785,21.93082618713379,12900,0.108,0.0,0.0,REIT
2021-03-19 00:00:00-04:00,22.468087404907273,22.468087404907273,21.628887176513672,21.628887176513672,5400,0.0,0.0,0.0,REIT
