symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
RIOT,"Riot Platforms, Inc.",8.99,33193291,15.87,6.19,-14.05,114.79,8.77,7.91,Mid Cap,2025-06-06 00:31:35,1364
RUN,Sunrun Inc.,8.38,21199808,22.26,5.45,-17.92,86.91,9.29,7.74,Small Cap,2025-06-06 00:31:11,1364
SBAC,SBA Communications Corporation,229.65,824713,249.02,183.56,15.74,31.27,230.38,226.87,Large Cap,2025-06-06 00:31:40,1364
SEDG,"SolarEdge Technologies, Inc.",17.74,5445721,50.83,10.24,19.86,78.61,18.41,15.58,Small Cap,2025-06-06 00:31:08,1364
SNOW,Snowflake Inc.,210.1,5395056,214.83,107.13,33.39,62.23,193.11,167.91,Large Cap,2025-06-06 00:30:48,1186
SO,The Southern Company,88.38,5193242,92.87,74.44,9.52,26.23,88.57,89.33,Large Cap,2025-06-06 00:31:16,1364
SOUN,"SoundHound AI, Inc.",9.47,33000230,24.98,3.82,-53.03,150.04,10.3,9.27,Mid Cap,2025-06-06 00:30:55,779
SPWR,"Complete Solaria, Inc.",1.74,938167,3.37,1.06,-7.94,153.92,1.67,1.7,Small Cap,2025-06-06 00:31:11,474
SRE,Sempra,75.95,3720646,94.26,61.9,-12.03,29.14,77.0,73.65,Large Cap,2025-06-06 00:31:19,1364
SWKS,"Skyworks Solutions, Inc.",70.79,4017933,116.7,47.45,-18.31,44.08,70.46,64.15,Large Cap,2025-06-06 00:30:39,1364
TEAM,Atlassian Corporation,218.6,2379373,326.0,135.29,-9.81,56.15,213.53,211.46,Large Cap,2025-06-06 00:31:56,1364
TSLA,"Tesla, Inc.",284.7,113544045,488.54,167.41,-24.94,68.28,335.27,291.46,Large Cap,2025-06-06 00:31:00,1364
TSM,Taiwan Semiconductor Manufacturing Company Limited,203.34,12896315,225.52,132.14,1.27,39.51,193.26,174.17,Large Cap,2025-06-06 00:30:33,1364
TXN,Texas Instruments Incorporated,190.49,7416829,216.92,138.77,3.52,33.1,184.24,169.6,Large Cap,2025-06-06 00:30:37,1364
UPST,"Upstart Holdings, Inc.",51.38,6598902,96.43,20.6,-15.49,121.54,48.34,45.96,Mid Cap,2025-06-06 00:30:52,1122
VERI,"Veritone, Inc.",1.48,613703,5.64,1.42,-53.75,105.31,1.7,2.0,Small Cap,2025-06-06 00:30:58,1364
VTR,"Ventas, Inc.",63.3,2983614,71.36,47.58,9.98,43.33,64.43,66.18,Large Cap,2025-06-06 00:31:43,1364
XEL,Xcel Energy Inc.,68.57,3907948,73.0,50.68,4.27,25.43,69.86,69.9,Large Cap,2025-06-06 00:31:18,1364
ZM,Zoom Communications Inc.,81.33,2481576,92.8,55.06,-0.31,55.89,81.66,76.99,Large Cap,2025-06-06 00:31:52,1364
